run,Accuracy,Precision,Recall,F1,AUC
1,0.8432835820895522,0.7759533898305084,0.6803392177223953,0.7091472868217055,0.9151955694011769
2,0.8134328358208955,0.7048245614035088,0.6616476289373485,0.6774814672186387,0.8411214953271028
3,0.8582089552238806,0.8007662835249042,0.7173762547594323,0.7462879920279023,0.8895811699550018
4,0.8507462686567164,0.8143674507310872,0.6711664935964001,0.706140350877193,0.9356178608515057
5,0.8731343283582089,0.8044871794871795,0.7959501557632398,0.8000877577885037,0.9307718933887159
6,0.8880597014925373,0.8517543859649124,0.7776047075112495,0.8064888803311832,0.9550017307026653
7,0.8283582089552238,0.7365900383141762,0.6709934233298719,0.692874937717987,0.8805815160955348
8,0.8507462686567164,0.775811209439528,0.7265489788854275,0.7462121212121212,0.8771201107649705
9,0.8432835820895522,0.7579545454545454,0.7357217030114227,0.74573055028463,0.8778123918310834
10,0.835820895522388,0.7505720823798627,0.6895119418483904,0.7113200156678418,0.9127725856697819
Average,0.8485074626865672,0.7773081126530214,0.7126860505365178,0.7341771359947706,0.9015576323987539
